"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Starting Sequence Number","Type/Subtype","Priority","Info"
"96941","22.787175","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","524","581","461","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=581, FN=0, Flags=.p.....TC"
"97411","22.884456","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","547","2997","461","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2997, FN=0, Flags=.p....F.C"
"98113","23.011860","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","582","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=582, FN=0, Flags=.p.....TC"
"98127","23.012682","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","252","583","189","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=583, FN=0, Flags=.p.....TC"
"98133","23.013242","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2998","88","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2998, FN=0, Flags=.p....F.C"
"98257","23.054816","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","275","2999","189","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2999, FN=0, Flags=.p....F.C"
"99767","23.373892","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","584","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=584, FN=0, Flags=.p.....TC"
"99794","23.382591","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","236","585","173","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=585, FN=0, Flags=.p.....TC"
"99797","23.383621","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","3008","88","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3008, FN=0, Flags=.p....F.C"
"99955","23.409705","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","3009","173","148","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=3009, FN=0, Flags=.p....F.C"
