"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Duration","Starting Sequence Number","Info"
"2605","51.145510","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","319","173","112","54\302\265s","","QoS Data, SN=319, FN=0, Flags=.p..R.F.C"
"2629","51.176881","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","1963","88","48","47\302\265s","","QoS Data, SN=1963, FN=0, Flags=.p.....TC"
"2631","51.178706","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","320","88","112","47\302\265s","","QoS Data, SN=320, FN=0, Flags=.p....F.C"
"2679","51.405456","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","1598","1976","1516","48","156\302\265s","","QoS Data, SN=1976, FN=0, Flags=.p.....TC"
"2680","51.405512","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","271","1977","185","48","20\302\265s","","QoS Data, SN=1977, FN=0, Flags=.p.....TC"
"2684","51.451388","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","1598","321","1516","112","114\302\265s","","QoS Data, SN=321, FN=0, Flags=.p....F.C"
"2685","51.451444","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","271","322","185","112","11\302\265s","","QoS Data, SN=322, FN=0, Flags=.p....F.C"
"2706","51.561141","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","1978","88","48","47\302\265s","","QoS Data, SN=1978, FN=0, Flags=.p.....TC"
"2708","51.564181","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","323","88","112","47\302\265s","","QoS Data, SN=323, FN=0, Flags=.p....F.C"
"2719","51.663060","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","547","1980","461","48","69\302\265s","","QoS Data, SN=1980, FN=0, Flags=.p.....TC"
"2721","51.663965","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","547","324","461","112","69\302\265s","","QoS Data, SN=324, FN=0, Flags=.p....F.C"
"2741","51.701559","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","1981","88","48","47\302\265s","","QoS Data, SN=1981, FN=0, Flags=.p.....TC"
"2743","51.710889","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","325","88","112","47\302\265s","","QoS Data, SN=325, FN=0, Flags=.p....F.C"
"2747","51.717630","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","275","1982","189","48","54\302\265s","","QoS Data, SN=1982, FN=0, Flags=.p.....TC"
"2750","51.719380","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","275","326","189","112","54\302\265s","","QoS Data, SN=326, FN=0, Flags=.p....F.C"
"2774","51.769760","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","1984","88","48","47\302\265s","","QoS Data, SN=1984, FN=0, Flags=.p.....TC"
"2776","51.776562","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","327","88","112","47\302\265s","","QoS Data, SN=327, FN=0, Flags=.p....F.C"
"2789","51.867618","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","259","1987","173","48","15\302\265s","","QoS Data, SN=1987, FN=0, Flags=.p.....TC"
"2791","51.882401","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","328","173","112","54\302\265s","","QoS Data, SN=328, FN=0, Flags=.p..R.F.C"
"2819","51.915695","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","1988","88","48","47\302\265s","","QoS Data, SN=1988, FN=0, Flags=.p.....TC"
"2824","51.926401","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","259","1989","173","48","54\302\265s","","QoS Data, SN=1989, FN=0, Flags=.p.....TC"
"2826","51.940304","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","170","330","88","112","35\302\265s","","QoS Data, SN=330, FN=0, Flags=.p....F.C"
"2827","51.940399","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","331","173","112","11\302\265s","","QoS Data, SN=331, FN=0, Flags=.p....F.C"
