"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Duration","Starting Sequence Number","Info"
"2799","51.888062","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","828","88","112","47\302\265s","","QoS Data, SN=828, FN=0, Flags=.p....F.C"
"2806","51.905588","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","255","3008","173","48","42\302\265s","","QoS Data, SN=3008, FN=0, Flags=.p.....TC"
"2810","51.907738","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","255","3008","173","48","42\302\265s","","QoS Data, SN=3008, FN=0, Flags=.p..R..TC"
"2813","51.914344","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","259","829","173","112","54\302\265s","","QoS Data, SN=829, FN=0, Flags=.p....F.C"
"2830","51.941630","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","3010","88","48","47\302\265s","","QoS Data, SN=3010, FN=0, Flags=.p.....TC"
"2838","51.960673","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","291","3011","205","48","54\302\265s","","QoS Data, SN=3011, FN=0, Flags=.p.....TC"
"2840","51.966025","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","170","830","88","112","35\302\265s","","QoS Data, SN=830, FN=0, Flags=.p....F.C"
"2841","51.966081","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","291","831","205","112","11\302\265s","","QoS Data, SN=831, FN=0, Flags=.p....F.C"
"2889","53.800579","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","789","88","48","47\302\265s","","QoS Data, SN=789, FN=0, Flags=.p.....TC"
"2921","54.000445","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","3012","88","48","47\302\265s","","QoS Data, SN=3012, FN=0, Flags=.p.....TC"
"2923","54.000555","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","291","3013","205","48","54\302\265s","","QoS Data, SN=3013, FN=0, Flags=.p.....TC"
"2926","54.018097","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","838","88","112","47\302\265s","","QoS Data, SN=838, FN=0, Flags=.p....F.C"
"2928","54.018206","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","291","839","205","112","54\302\265s","","QoS Data, SN=839, FN=0, Flags=.p....F.C"
"2956","54.426010","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","166","790","80","48","47\302\265s","","QoS Data, SN=790, FN=0, Flags=.p.....TC"
"2959","54.426175","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","166","790","80","48","47\302\265s","","QoS Data, SN=790, FN=0, Flags=.p..R..TC"
"2963","54.433944","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","166","840","80","112","47\302\265s","","QoS Data, SN=840, FN=0, Flags=.p....F.C"
"2964","54.435901","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","166","840","80","112","47\302\265s","","QoS Data, SN=840, FN=0, Flags=.p..R.F.C"
"3114","56.063489","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","3014","88","48","47\302\265s","","QoS Data, SN=3014, FN=0, Flags=.p.....TC"
"3118","56.066267","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","291","3015","205","48","54\302\265s","","QoS Data, SN=3015, FN=0, Flags=.p.....TC"
"3122","56.068942","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","170","866","88","112","35\302\265s","","QoS Data, SN=866, FN=0, Flags=.p....F.C"
"3123","56.068997","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","291","867","205","112","11\302\265s","","QoS Data, SN=867, FN=0, Flags=.p....F.C"
"3199","58.212193","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","3016","88","48","47\302\265s","","QoS Data, SN=3016, FN=0, Flags=.p.....TC"
"3209","58.223380","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","291","3017","205","48","54\302\265s","","QoS Data, SN=3017, FN=0, Flags=.p.....TC"
"3211","58.227238","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","875","88","112","47\302\265s","","QoS Data, SN=875, FN=0, Flags=.p....F.C"
"3212","58.228000","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","875","88","112","47\302\265s","","QoS Data, SN=875, FN=0, Flags=.p..R.F.C"
"3214","58.228113","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","287","876","205","112","42\302\265s","","QoS Data, SN=876, FN=0, Flags=.p....F.C"
"3367","60.379756","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","3018","88","48","47\302\265s","","QoS Data, SN=3018, FN=0, Flags=.p.....TC"
"3369","60.382029","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","900","88","112","47\302\265s","","QoS Data, SN=900, FN=0, Flags=.p....F.C"
"3372","60.386942","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","291","3019","205","48","54\302\265s","","QoS Data, SN=3019, FN=0, Flags=.p.....TC"
"3683","62.522803","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","3020","88","48","47\302\265s","","QoS Data, SN=3020, FN=0, Flags=.p.....TC"
"3686","62.523016","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","3020","88","48","47\302\265s","","QoS Data, SN=3020, FN=0, Flags=.p..R..TC"
"3689","62.524546","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","3020","88","48","54\302\265s","","QoS Data, SN=3020, FN=0, Flags=.p..R..TC"
"3691","62.524704","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","291","3021","205","48","54\302\265s","","QoS Data, SN=3021, FN=0, Flags=.p.....TC"
"3694","62.527467","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","291","3021","205","48","54\302\265s","","QoS Data, SN=3021, FN=0, Flags=.p..R..TC"
"3697","62.527681","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","291","3021","205","48","65\302\265s","","QoS Data, SN=3021, FN=0, Flags=.p..R..TC"
"3704","62.537753","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","958","88","112","47\302\265s","","QoS Data, SN=958, FN=0, Flags=.p....F.C"
"3706","62.538054","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","291","959","205","112","54\302\265s","","QoS Data, SN=959, FN=0, Flags=.p....F.C"
"4077","64.664928","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","3022","88","48","47\302\265s","","QoS Data, SN=3022, FN=0, Flags=.p.....TC"
"4080","64.665142","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","3022","88","48","47\302\265s","","QoS Data, SN=3022, FN=0, Flags=.p..R..TC"
"4082","64.667939","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","1025","88","112","47\302\265s","","QoS Data, SN=1025, FN=0, Flags=.p....F.C"
"4092","64.682886","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","291","3023","205","48","54\302\265s","","QoS Data, SN=3023, FN=0, Flags=.p.....TC"
"4102","64.688756","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","287","1028","205","112","42\302\265s","","QoS Data, SN=1028, FN=0, Flags=.p....F.C"
"4410","66.815450","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","3024","88","48","47\302\265s","","QoS Data, SN=3024, FN=0, Flags=.p.....TC"
"4421","66.825729","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","291","3025","205","48","56\302\265s","","QoS Data, SN=3025, FN=0, Flags=.p.....TC"
"4508","68.964793","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","3026","88","48","48\302\265s","","QoS Data, SN=3026, FN=0, Flags=.p.....TC"
"4512","68.973123","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","1108","88","112","47\302\265s","","QoS Data, SN=1108, FN=0, Flags=.p....F.C"
"4514","68.976175","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","1108","88","112","47\302\265s","","QoS Data, SN=1108, FN=0, Flags=.p..R.F.C"
"4518","68.982252","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","291","3027","205","48","56\302\265s","","QoS Data, SN=3027, FN=0, Flags=.p.....TC"
"4520","68.985038","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","291","1109","205","112","54\302\265s","","QoS Data, SN=1109, FN=0, Flags=.p....F.C"
"4585","71.123511","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","3028","88","48","48\302\265s","","QoS Data, SN=3028, FN=0, Flags=.p.....TC"
"4587","71.123671","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","291","3029","205","48","56\302\265s","","QoS Data, SN=3029, FN=0, Flags=.p.....TC"
"4589","71.126264","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","170","1115","88","112","35\302\265s","","QoS Data, SN=1115, FN=0, Flags=.p....F.C"
"4590","71.126321","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","291","1116","205","112","11\302\265s","","QoS Data, SN=1116, FN=0, Flags=.p....F.C"
"4820","73.261591","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","3030","88","48","48\302\265s","","QoS Data, SN=3030, FN=0, Flags=.p.....TC"
"4823","73.262596","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","3030","88","48","48\302\265s","","QoS Data, SN=3030, FN=0, Flags=.p..R..TC"
"4825","73.267273","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","1162","88","112","47\302\265s","","QoS Data, SN=1162, FN=0, Flags=.p....F.C"
"4831","73.270228","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","291","3031","205","48","56\302\265s","","QoS Data, SN=3031, FN=0, Flags=.p.....TC"
"4834","73.272534","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","291","3031","205","48","56\302\265s","","QoS Data, SN=3031, FN=0, Flags=.p..R..TC"
"4837","73.276118","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","291","3031","205","48","68\302\265s","","QoS Data, SN=3031, FN=0, Flags=.p..R..TC"
"4840","73.305391","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","291","1163","205","85","54\302\265s","","QoS Data, SN=1163, FN=0, Flags=.p....F.C"
