"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Duration","Starting Sequence Number","Info"
"6492","40.156659","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","471","88","48","47\302\265s","","QoS Data, SN=471, FN=0, Flags=.p.....TC"
"6495","40.158355","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","2939","88","112","47\302\265s","","QoS Data, SN=2939, FN=0, Flags=.p....F.C"
"6500","40.169292","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","259","472","173","48","54\302\265s","","QoS Data, SN=472, FN=0, Flags=.p.....TC"
"6502","40.171022","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","259","2940","173","112","54\302\265s","","QoS Data, SN=2940, FN=0, Flags=.p....F.C"
"6535","40.347734","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","473","88","48","47\302\265s","","QoS Data, SN=473, FN=0, Flags=.p.....TC"
"6537","40.349447","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","2942","88","112","47\302\265s","","QoS Data, SN=2942, FN=0, Flags=.p....F.C"
"6545","40.400669","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","275","474","189","48","54\302\265s","","QoS Data, SN=474, FN=0, Flags=.p.....TC"
"6547","40.402415","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","275","2943","189","112","54\302\265s","","QoS Data, SN=2943, FN=0, Flags=.p....F.C"
"6570","40.504799","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","475","88","48","47\302\265s","","QoS Data, SN=475, FN=0, Flags=.p.....TC"
"6572","40.506496","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","2944","88","112","47\302\265s","","QoS Data, SN=2944, FN=0, Flags=.p....F.C"
"6577","40.530101","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","259","476","173","48","54\302\265s","","QoS Data, SN=476, FN=0, Flags=.p.....TC"
"6579","40.531711","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","259","2945","173","112","54\302\265s","","QoS Data, SN=2945, FN=0, Flags=.p....F.C"
"6601","40.560278","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","477","88","48","47\302\265s","","QoS Data, SN=477, FN=0, Flags=.p.....TC"
"6603","40.561957","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","2946","88","112","47\302\265s","","QoS Data, SN=2946, FN=0, Flags=.p....F.C"
"6609","40.590117","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","579","478","493","48","72\302\265s","","QoS Data, SN=478, FN=0, Flags=.p.....TC"
"6611","40.591818","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","579","2947","493","112","72\302\265s","","QoS Data, SN=2947, FN=0, Flags=.p....F.C"
"6631","40.676211","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","479","88","48","47\302\265s","","QoS Data, SN=479, FN=0, Flags=.p.....TC"
"6633","40.679858","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","2948","88","112","47\302\265s","","QoS Data, SN=2948, FN=0, Flags=.p....F.C"
"6638","40.688948","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","259","480","173","48","54\302\265s","","QoS Data, SN=480, FN=0, Flags=.p.....TC"
"6640","40.690581","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","259","2949","173","112","54\302\265s","","QoS Data, SN=2949, FN=0, Flags=.p....F.C"
"6660","40.703889","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","481","88","48","47\302\265s","","QoS Data, SN=481, FN=0, Flags=.p.....TC"
"6662","40.705564","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","2950","88","112","47\302\265s","","QoS Data, SN=2950, FN=0, Flags=.p....F.C"
"6667","40.714956","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","291","482","205","48","54\302\265s","","QoS Data, SN=482, FN=0, Flags=.p.....TC"
"6669","40.716638","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","291","2951","205","112","54\302\265s","","QoS Data, SN=2951, FN=0, Flags=.p....F.C"
"6843","42.808593","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","483","88","48","47\302\265s","","QoS Data, SN=483, FN=0, Flags=.p.....TC"
"6845","42.810869","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","2963","88","112","47\302\265s","","QoS Data, SN=2963, FN=0, Flags=.p....F.C"
"6851","42.819684","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","291","484","205","48","54\302\265s","","QoS Data, SN=484, FN=0, Flags=.p.....TC"
