"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Duration","Starting Sequence Number","Info"
"1307","12.966710","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2205","802.11 Block Ack, Flags=........C"
"1319","12.977597","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2207","802.11 Block Ack, Flags=........C"
"1321","12.977712","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2208","802.11 Block Ack, Flags=........C"
"1337","13.007400","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2209","802.11 Block Ack, Flags=........C"
"1344","13.009642","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2210","802.11 Block Ack, Flags=........C"
"1348","13.018334","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2211","802.11 Block Ack, Flags=........C"
"1350","13.018453","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2212","802.11 Block Ack, Flags=........C"
"1358","13.036657","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2213","802.11 Block Ack, Flags=........C"
"1360","13.036878","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2214","802.11 Block Ack, Flags=........C"
"1375","13.064471","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2215","802.11 Block Ack, Flags=........C"
"1378","13.081658","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2216","802.11 Block Ack, Flags=........C"
"1382","13.109353","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2217","802.11 Block Ack, Flags=........C"
"1395","13.126928","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2218","802.11 Block Ack, Flags=........C"
"1398","13.136129","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2219","802.11 Block Ack, Flags=........C"
"1409","13.154610","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2220","802.11 Block Ack, Flags=........C"
"1467","13.251268","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","28","68\302\265s","2221","802.11 Block Ack, Flags=........C"
"1469","13.251424","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","28","68\302\265s","2222","802.11 Block Ack, Flags=........C"
"1472","13.251595","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","28","68\302\265s","2223","802.11 Block Ack, Flags=........C"
"1475","13.280250","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2225","802.11 Block Ack, Flags=........C"
"1486","13.293949","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2226","802.11 Block Ack, Flags=........C"
"1497","13.317782","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2227","802.11 Block Ack, Flags=........C"
"1499","13.317895","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2228","802.11 Block Ack, Flags=........C"
"1509","13.414167","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2229","802.11 Block Ack, Flags=........C"
"1516","13.417505","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2230","802.11 Block Ack, Flags=........C"
"1527","13.419752","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2231","802.11 Block Ack, Flags=........C"
"1546","13.427800","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2232","802.11 Block Ack, Flags=........C"
"1552","13.436889","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2233","802.11 Block Ack, Flags=........C"
"1555","13.443449","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2236","802.11 Block Ack, Flags=........C"
"1566","13.445488","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2237","802.11 Block Ack, Flags=........C"
"1571","13.453664","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2238","802.11 Block Ack, Flags=........C"
"1573","13.453777","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2239","802.11 Block Ack, Flags=........C"
"1584","13.471307","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2240","802.11 Block Ack, Flags=........C"
"1591","13.481655","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2241","802.11 Block Ack, Flags=........C"
"1599","13.545277","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","28","68\302\265s","2242","802.11 Block Ack, Flags=........C"
"1610","13.600559","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2244","802.11 Block Ack, Flags=........C"
"1623","13.615129","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2245","802.11 Block Ack, Flags=........C"
"1640","13.735896","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2246","802.11 Block Ack, Flags=........C"
"1658","13.750117","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2247","802.11 Block Ack, Flags=........C"
"1661","13.754445","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2249","802.11 Block Ack, Flags=........C"
"1672","13.759485","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2250","802.11 Block Ack, Flags=........C"
"1675","13.766736","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2251","802.11 Block Ack, Flags=........C"
"1677","13.766849","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2252","802.11 Block Ack, Flags=........C"
"1688","13.783308","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2253","802.11 Block Ack, Flags=........C"
"1695","13.793053","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2254","802.11 Block Ack, Flags=........C"
"1709","13.871458","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2255","802.11 Block Ack, Flags=........C"
"1720","13.912956","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2257","802.11 Block Ack, Flags=........C"
"1732","13.926164","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2258","802.11 Block Ack, Flags=........C"
"1739","14.044552","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2259","802.11 Block Ack, Flags=........C"
"1751","14.059905","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2260","802.11 Block Ack, Flags=........C"
"1768","14.227223","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2261","802.11 Block Ack, Flags=........C"
"1808","14.752260","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","28","68\302\265s","2262","802.11 Block Ack, Flags=........C"
"1820","14.766134","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2263","802.11 Block Ack, Flags=........C"
"1825","14.884347","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2264","802.11 Block Ack, Flags=........C"
"1844","14.898431","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2265","802.11 Block Ack, Flags=........C"
"1846","14.898545","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2266","802.11 Block Ack, Flags=........C"
"1857","14.903698","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2267","802.11 Block Ack, Flags=........C"
"1860","14.909742","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2268","802.11 Block Ack, Flags=........C"
"1862","14.909856","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2269","802.11 Block Ack, Flags=........C"
"1873","14.927456","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2270","802.11 Block Ack, Flags=........C"
"1880","14.937554","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2271","802.11 Block Ack, Flags=........C"
"1886","15.017086","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2272","802.11 Block Ack, Flags=........C"
"1888","15.017201","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2273","802.11 Block Ack, Flags=........C"
"1904","15.055926","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","28","68\302\265s","2274","802.11 Block Ack, Flags=........C"
"1916","15.069418","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2275","802.11 Block Ack, Flags=........C"
"1924","15.188801","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2276","802.11 Block Ack, Flags=........C"
"1935","15.202233","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2277","802.11 Block Ack, Flags=........C"
"1941","15.320950","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2278","802.11 Block Ack, Flags=........C"
"1952","15.334374","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","28","68\302\265s","2279","802.11 Block Ack, Flags=........C"
"1963","15.363366","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2280","802.11 Block Ack, Flags=........C"
"1968","15.452627","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2281","802.11 Block Ack, Flags=........C"
"1988","15.466558","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2282","802.11 Block Ack, Flags=........C"
"1996","15.472190","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2284","802.11 Block Ack, Flags=........C"
"2004","15.482108","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2285","802.11 Block Ack, Flags=........C"
"2006","15.482221","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2286","802.11 Block Ack, Flags=........C"
"2017","15.499232","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2287","802.11 Block Ack, Flags=........C"
"2028","15.584942","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2289","802.11 Block Ack, Flags=........C"
"2030","15.585055","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2290","802.11 Block Ack, Flags=........C"
"2049","15.628219","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2291","802.11 Block Ack, Flags=........C"
"2060","15.641688","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","28","68\302\265s","2292","802.11 Block Ack, Flags=........C"
"2074","15.760397","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2293","802.11 Block Ack, Flags=........C"
"2094","15.774168","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2294","802.11 Block Ack, Flags=........C"
"2102","15.780362","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2296","802.11 Block Ack, Flags=........C"
"2110","15.790250","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2297","802.11 Block Ack, Flags=........C"
"2113","15.792113","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2298","802.11 Block Ack, Flags=........C"
"2124","15.807561","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2299","802.11 Block Ack, Flags=........C"
"2131","15.817547","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2300","802.11 Block Ack, Flags=........C"
"2137","15.892721","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2301","802.11 Block Ack, Flags=........C"
"2139","15.892835","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2302","802.11 Block Ack, Flags=........C"
"2150","15.936068","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","28","68\302\265s","2303","802.11 Block Ack, Flags=........C"
"2161","15.949432","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","28","68\302\265s","2304","802.11 Block Ack, Flags=........C"
"2168","16.068384","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2305","802.11 Block Ack, Flags=........C"
"2188","16.082157","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2306","802.11 Block Ack, Flags=........C"
"2190","16.082268","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2307","802.11 Block Ack, Flags=........C"
"2202","16.087747","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2308","802.11 Block Ack, Flags=........C"
"2206","16.097519","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2309","802.11 Block Ack, Flags=........C"
"2208","16.097638","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2310","802.11 Block Ack, Flags=........C"
"2219","16.115540","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2311","802.11 Block Ack, Flags=........C"
"2226","16.126092","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2312","802.11 Block Ack, Flags=........C"
"2232","16.200405","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2313","802.11 Block Ack, Flags=........C"
"2234","16.200520","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2314","802.11 Block Ack, Flags=........C"
"2245","16.244084","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","28","68\302\265s","2315","802.11 Block Ack, Flags=........C"
"2256","16.257549","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","28","68\302\265s","2316","802.11 Block Ack, Flags=........C"
"2262","16.376408","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2317","802.11 Block Ack, Flags=........C"
"2274","16.389910","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2318","802.11 Block Ack, Flags=........C"
"2303","16.908807","","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","","802.11","57","","","64","32\302\265s","2319","802.11 Block Ack, Flags=........C"
