"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Duration","Starting Sequence Number","Info"
"6473","39.987208","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","3697","88","48","47\302\265s","","QoS Data, SN=3697, FN=0, Flags=.p.....TC"
"6475","39.987559","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","1172","88","112","47\302\265s","","QoS Data, SN=1172, FN=0, Flags=.p....F.C"
"6485","40.155085","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","259","3698","173","48","54\302\265s","","QoS Data, SN=3698, FN=0, Flags=.p.....TC"
"6487","40.155542","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","1173","173","112","54\302\265s","","QoS Data, SN=1173, FN=0, Flags=.p....F.C"
"6507","40.172060","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","3699","88","48","47\302\265s","","QoS Data, SN=3699, FN=0, Flags=.p.....TC"
"6509","40.172468","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","1174","88","112","47\302\265s","","QoS Data, SN=1174, FN=0, Flags=.p....F.C"
"6525","40.345642","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","1598","3701","1516","48","114\302\265s","","QoS Data, SN=3701, FN=0, Flags=.p.....TC"
"6526","40.345698","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","271","3702","185","48","11\302\265s","","QoS Data, SN=3702, FN=0, Flags=.p.....TC"
"6528","40.346301","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","1602","1175","1516","112","126\302\265s","","QoS Data, SN=1175, FN=0, Flags=.p....F.C"
"6530","40.346414","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","271","1176","185","112","54\302\265s","","QoS Data, SN=1176, FN=0, Flags=.p....F.C"
"6552","40.403343","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","3703","88","48","47\302\265s","","QoS Data, SN=3703, FN=0, Flags=.p.....TC"
"6554","40.403785","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","1177","88","112","47\302\265s","","QoS Data, SN=1177, FN=0, Flags=.p....F.C"
"6563","40.500685","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","547","3704","461","48","69\302\265s","","QoS Data, SN=3704, FN=0, Flags=.p.....TC"
"6565","40.501171","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","547","1178","461","112","69\302\265s","","QoS Data, SN=1178, FN=0, Flags=.p....F.C"
"6584","40.532825","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","3705","88","48","47\302\265s","","QoS Data, SN=3705, FN=0, Flags=.p.....TC"
"6586","40.533209","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","1179","88","112","47\302\265s","","QoS Data, SN=1179, FN=0, Flags=.p....F.C"
"6594","40.558353","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","275","3706","189","48","54\302\265s","","QoS Data, SN=3706, FN=0, Flags=.p.....TC"
"6596","40.558816","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","275","1180","189","112","54\302\265s","","QoS Data, SN=1180, FN=0, Flags=.p....F.C"
"6616","40.592925","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","3707","88","48","47\302\265s","","QoS Data, SN=3707, FN=0, Flags=.p.....TC"
"6618","40.593381","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","1181","88","112","47\302\265s","","QoS Data, SN=1181, FN=0, Flags=.p....F.C"
"6624","40.674454","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","259","3708","173","48","54\302\265s","","QoS Data, SN=3708, FN=0, Flags=.p.....TC"
"6626","40.674905","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","1182","173","112","54\302\265s","","QoS Data, SN=1182, FN=0, Flags=.p....F.C"
"6645","40.691613","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","3709","88","48","47\302\265s","","QoS Data, SN=3709, FN=0, Flags=.p.....TC"
"6647","40.692046","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","1183","88","112","47\302\265s","","QoS Data, SN=1183, FN=0, Flags=.p....F.C"
"6648","40.692218","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","1183","88","112","47\302\265s","","QoS Data, SN=1183, FN=0, Flags=.p..R.F.C"
"6653","40.701905","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","259","3710","173","48","54\302\265s","","QoS Data, SN=3710, FN=0, Flags=.p.....TC"
