"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Starting Sequence Number","Type/Subtype","Priority","Info"
"3147","24.099623","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1512","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1512, FN=0, Flags=.p.....TC"
"3155","24.108661","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","291","1513","205","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1513, FN=0, Flags=.p.....TC"
"3174","24.117996","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1514","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1514, FN=0, Flags=.p.....TC"
"3184","24.127663","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","259","1515","173","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1515, FN=0, Flags=.p.....TC"
"3197","24.135880","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1516","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1516, FN=0, Flags=.p.....TC"
"3200","24.136088","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1516","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1516, FN=0, Flags=.p..R..TC"
"3203","24.136338","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1516","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1516, FN=0, Flags=.p..R..TC"
"3212","24.145136","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","259","1517","173","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1517, FN=0, Flags=.p.....TC"
"3235","24.161691","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","170","1518","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1518, FN=0, Flags=.p.....TC"
"3236","24.161747","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1519","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1519, FN=0, Flags=.p.....TC"
"3658","29.160422","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","243","1521","157","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1521, FN=0, Flags=.p.....TC"
"3660","29.160536","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","170","1522","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1522, FN=0, Flags=.p.....TC"
"3661","29.160591","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","162","1523","76","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1523, FN=0, Flags=.p.....TC"
"3984","31.985675","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","178","1467","92","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1467, FN=0, Flags=.p.....TC"
"3985","32.397241","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","186","1525","100","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1525, FN=0, Flags=.p.....TC"
"4008","32.493448","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1526","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1526, FN=0, Flags=.p.....TC"
"4020","32.513594","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1527","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1527, FN=0, Flags=.p.....TC"
"4029","32.531101","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","260","1528","178","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1528, FN=0, Flags=.p.....TC"
"4030","32.531159","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","1598","1529","1516","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1529, FN=0, Flags=.p.....TC"
"4031","32.531215","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","184","1530","98","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1530, FN=0, Flags=.p.....TC"
"4060","32.539018","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","304","1531","218","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1531, FN=0, Flags=.p.....TC"
"4080","32.565421","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1532","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1532, FN=0, Flags=.p.....TC"
"4093","32.570377","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1533","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1533, FN=0, Flags=.p.....TC"
"4106","32.573413","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1534","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1534, FN=0, Flags=.p.....TC"
"4114","32.573959","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","180","1535","94","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1535, FN=0, Flags=.p.....TC"
"4132","32.636243","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","259","1536","173","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1536, FN=0, Flags=.p.....TC"
"4154","32.667532","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1537","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1537, FN=0, Flags=.p.....TC"
"4162","32.688573","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","243","1538","157","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1538, FN=0, Flags=.p.....TC"
"4186","32.757579","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1539","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1539, FN=0, Flags=.p.....TC"
"4195","32.767705","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","275","1540","189","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1540, FN=0, Flags=.p.....TC"
"4214","32.777159","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","174","1541","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1541, FN=0, Flags=.p.....TC"
"4222","32.786656","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","802.11","339","1542","253","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1542, FN=0, Flags=.p.....TC"
