"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Starting Sequence Number","Type/Subtype","Priority","Info"
"1477","13.012228","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","236","2924","173","258","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2924, FN=0, Flags=.p.....TC"
"1479","13.012433","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","2152","173","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2152, FN=0, Flags=.p....F.C"
"1514","13.075406","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","2925","88","223","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2925, FN=0, Flags=.p.....TC"
"1516","13.075560","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2153","88","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2153, FN=0, Flags=.p....F.C"
"1520","13.085453","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","236","2926","173","223","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2926, FN=0, Flags=.p.....TC"
"1522","13.085884","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","2154","173","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2154, FN=0, Flags=.p....F.C"
"1550","13.097802","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","2927","88","223","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2927, FN=0, Flags=.p.....TC"
"1552","13.098198","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2155","88","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2155, FN=0, Flags=.p....F.C"
"1553","13.098254","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2155","88","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2155, FN=0, Flags=.p..R.F.C"
"1569","13.272299","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","1579","2928","1516","223","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2928, FN=0, Flags=.p.....TC"
"1571","13.273119","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","248","2929","185","223","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2929, FN=0, Flags=.p.....TC"
"1573","13.273291","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","1602","2156","1516","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2156, FN=0, Flags=.p....F.C"
"1575","13.273404","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","271","2157","185","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2157, FN=0, Flags=.p....F.C"
"1596","13.340267","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","2930","88","223","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2930, FN=0, Flags=.p.....TC"
"1598","13.340474","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2158","88","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2158, FN=0, Flags=.p....F.C"
"1618","13.412471","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","524","2931","461","223","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2931, FN=0, Flags=.p.....TC"
"1620","13.412735","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","547","2159","461","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2159, FN=0, Flags=.p....F.C"
"1654","13.445813","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","2932","88","223","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2932, FN=0, Flags=.p.....TC"
"1656","13.445982","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2160","88","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2160, FN=0, Flags=.p....F.C"
"1660","13.451032","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","252","2933","189","213","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2933, FN=0, Flags=.p.....TC"
